flood_id,flooded_location,latitude,longitude,mean_pr,daily rainfall total (mm),highest 30 min rainfall (mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),date,geom
188,sungei ulu pandan,1.317108561,103.7734619,92.7347826086957,170.6,54.8,98.6,137.4,2021-04-17,0101000020E6100000EE4C576680F159400A6D2C6DE012F53F
189,Caltex Binjai Park,1.335234561,103.7867929,45.6666666666667,68.6,42,53.8,63.2,2021-07-12,0101000020E6100000668E9BD05AF2594020BE3FEA1E5DF53F
190,75359,1.3743865,103.9314795,51.1217391304348,105.4,33.6,56.2,89.6,2021-08-20,0101000020E61000003E59315C9DFB5940C005D9B27CFDF53F
191,Dunearn Road,1.321187712,103.8250577,58.6826086956522,48,12.2,15.4,28.2,2021-08-24,0101000020E610000008B4CFBECDF459404EACEEB99523F53F
192,Hougang Avenue 8,1.373321226,103.8863655,61.35625,104,30.8,59.4,93.4,2021-08-30,0101000020E61000005FB35C36BAF85940792989AD1FF9F53F
193,punggol west flyover,1.398884824,103.8963815,61.35625,62,29.6,49.2,58.6,2021-08-30,0101000020E610000053CF82505EF9594022369F0DD561F63F
194,Punggol West Flyover,1.398884824,103.8963815,56.9875,110.6,39.6,71.6,95.4,2021-09-02,0101000020E610000053CF82505EF9594022369F0DD561F63F
195,Jurong East Street 32,1.346948495,103.7338254,20.4255319148936,35.2,21.8,34.6,35.2,2021-09-06,0101000020E6100000587ECFFEF6EE594022BE76DD198DF53F
196,Jurong East Street 32,1.346948495,103.7338254,18.9833333333333,22,12.6,17.2,19.6,2021-11-23,0101000020E6100000587ECFFEF6EE594022BE76DD198DF53F
197,Bedok North Flyover,1.332027601,103.920369,34.3195652173913,81.2,44.4,75,81,2022-02-27,0101000020E610000024D06053E7FA594020A17A2CFC4FF53F
198,Regent Centre,1.334034808,103.8993172,34.3195652173913,142,47.6,63.4,119.8,2022-02-27,0101000020E6100000BDAEBA698EF95940C75E01E23458F53F
199,209 Punggol Place Punggol Crest,1.39897654,103.9009366,39.8958333333333,89.4,51.8,73.6,89.4,2022-03-02,0101000020E61000003E31FCF1A8F9594062BD72393562F63F
200,Buangkok Flyover,1.376840321,103.9101193,39.8958333333333,45.8,22.4,30.4,43.8,2022-03-02,0101000020E6100000573D05653FFA5940722568B78907F63F
201,Jurong East St 32,1.346948495,103.7338254,30.0586956521739,116.2,57.4,92.6,116,2022-03-07,0101000020E6100000587ECFFEF6EE594022BE76DD198DF53F
202,Enterprise Road,1.333312258,103.7051173,30.0586956521739,102.2,40.6,59.6,100.8,2022-03-07,0101000020E610000001D64FA420ED59406374F73B3F55F53F
203,Sungei Tengah,1.39899234,103.7251111,30.0586956521739,125.2,49.6,93.4,124.4,2022-03-07,0101000020E6100000DD1D633868EE5940E278BACA4562F63F
204,Lavender MRT,1.307506571,103.8629385,64.46086957,73.2,35.4,57.2,68.2,2022-10-05,0101000020E610000065FD66623AF759406B009C028CEBF43F
205,BKE Exit 8,1.416284715,103.7707207,26.5530612244898,45.2,14.6,25.8,42.6,2022-11-07,0101000020E61000006A36EA7C53F15940B1FE4B291AA9F63F
206,Tanah Merah MRT,1.327310982,103.9464517,28.1979166666667,112.8,43.4,73.6,95.2,2022-11-12,0101000020E610000097AF26AA92FC59407FFCB470AA3CF53F
207,Buangkok Flyover,1.376840321,103.9101193,52.5065217391304,76.2,45.4,68.6,70.4,2022-12-11,0101000020E6100000573D05653FFA5940722568B78907F63F
208,Kramat Lane,1.300979318,103.8422739,40.154347826087,71.4,35.6,63.2,70.2,2023-03-30,0101000020E61000008FB1C9D0E7F55940725179B0CFD0F43F
209,Cavenagh Road,1.308094752,103.8421398,40.154347826087,67.6,47.4,65,66.6,2023-03-30,0101000020E61000003DEA549EE5F55940358C3EC3F4EDF43F
210,42059,1.336444847,103.782762,67.6047619,79.8,44.2,50.6,55.2,2023-07-20,0101000020E61000004DA3C9C518F25940145DECFD1362F53F
211,21229,1.342064137,103.7160202,18.6478260869565,30.8,20.2,27.2,30.2,2023-11-28,0101000020E6100000A0916346D3ED59409ACA983E1879F53F
212,Dunearn Road,1.321187712,103.8250577,13.4090909090909,15.4,11.4,11.8,14.8,2024-02-03,0101000020E610000008B4CFBECDF459404EACEEB99523F53F
213,Dunearn Road,1.321187712,103.8250577,64.6690476190476,85.8,24.6,38,55.8,2024-10-14,0101000020E610000008B4CFBECDF459404EACEEB99523F53F
214,KING ALBERT PARK MRT STATION (DT6),1.335661613,103.7833991,50.4785714285714,61,34.4,50.2,59.4,2024-11-16,0101000020E6100000D08DFA3523F25940C4B825B6DE5EF53F
215,1549,1.300698688,103.8587312,24.0619047619048,67.6,45.8,66.2,67.4,2024-11-17,0101000020E61000008203B573F5F65940CD8F6E6DA9CFF43F
216,SENNETT ESTATE,1.33207783,103.8729686,49.04,66.8,34.6,51.6,60.2,2024-11-22,0101000020E6100000D5DBB0B7DEF75940F339B9D73050F53F
217,59229,1.439015896,103.834164,49.04,78.6,46.8,61.5,70.2,2024-11-22,0101000020E610000009E066F162F55940FCE73B883506F73F
218,SEMBAWANG GOD OF WEALTH TEMPLE,1.460803217,103.8111042,49.04,106.4,35.8,70,93.8,2024-11-22,0101000020E61000007D299721E9F359406681AE31735FF73F
219,Dunearn Road,1.321187712,103.8250577,44.8372093023256,136.2,65,98,131.8,2024-12-29,0101000020E610000008B4CFBECDF459404EACEEB99523F53F
220,KING ALBERT PARK MRT STATION (DT6),1.335661613,103.7833991,44.8372093023256,70.4,40,55.6,67.8,2024-12-29,0101000020E6100000D08DFA3523F25940C4B825B6DE5EF53F
